loan_amount,purpose,annual_income,home_ownership,issue_date,emp_length,dti,term,Encoded Homeownership,Encoded Loan Purpose,Income Group,Term (Numeric),,,
18000,Debt consolidation,86000,OWN,11/08/2021,5 years,0.1156, 36 months,3,3,Medium,36,,,
20000,Debt consolidation,60000,OWN,10/02/2021,5 years,0.1528, 36 months,3,3,Medium,36,,,
25000,Debt consolidation,60000,OWN,10/05/2021,8 years,0.0944, 36 months,3,3,Medium,36,,,
6250,Debt consolidation,18000,OWN,10/04/2021,< 1 year,0.1793, 36 months,3,3,Low,36,,,
6400,Debt consolidation,53947,OWN,10/12/2021,< 1 year,0.2113, 36 months,3,3,Medium,36,,,
14400,Debt consolidation,28000,OWN,09/12/2021,10+ years,0, 36 months,3,3,Low,36,,,
24000,Debt consolidation,48000,OWN,11/10/2021,3 years,0.1648, 36 months,3,3,Medium,36,,,
16000,Debt consolidation,50000,OWN,10/03/2021,1 year,0.2388, 36 months,3,3,Medium,36,,,
24000,Debt consolidation,175000,OWN,10/02/2021,10+ years,0.1065, 36 months,3,3,Medium,36,,,
12000,Debt consolidation,90000,OWN,11/01/2021,10+ years,0.1071, 36 months,3,3,Medium,36,,,
5000,Debt consolidation,38000,OWN,09/07/2021,2 years,0.1914, 36 months,3,3,Medium,36,,,
1750,Debt consolidation,12600,OWN,10/08/2021,3 years,0.2229, 36 months,3,3,Low,36,,,
7200,Debt consolidation,37000,OWN,10/08/2021,3 years,0.0921, 36 months,3,3,Medium,36,,,
2200,Debt consolidation,80000,OWN,11/09/2021,5 years,0.0327, 36 months,3,3,Medium,36,,,
15250,Debt consolidation,45000,OWN,10/10/2021,5 years,0.2371, 36 months,3,3,Medium,36,,,
12000,Debt consolidation,56004,OWN,10/06/2021,5 years,0.0846, 36 months,3,3,Medium,36,,,
7000,Debt consolidation,18996,OWN,09/06/2021,6 years,0.1466, 36 months,3,3,Low,36,,,
8400,Debt consolidation,51996,OWN,10/11/2021,8 years,0.1526, 36 months,3,3,Medium,36,,,
7000,Debt consolidation,19200,OWN,11/08/2021,1 year,0.0938, 36 months,3,3,Low,36,,,
13000,Debt consolidation,55000,OWN,10/10/2021,3 years,0.1972, 36 months,3,3,Medium,36,,,
11325,Debt consolidation,40000,OWN,11/11/2021,3 years,0.2259, 36 months,3,3,Medium,36,,,
5825,Debt consolidation,63180,OWN,11/03/2021,4 years,0.2013, 36 months,3,3,Medium,36,,,
10500,Debt consolidation,55008,OWN,09/02/2021,5 years,0.07, 36 months,3,3,Medium,36,,,
25000,Debt consolidation,157500,OWN,10/01/2021,6 years,0.1642, 36 months,3,3,Medium,36,,,
6250,Debt consolidation,29004,OWN,09/06/2021,6 years,0.2354, 36 months,3,3,Low,36,,,
12000,Debt consolidation,68000,OWN,08/12/2021,< 1 year,0.0429, 36 months,3,3,Medium,36,,,
8500,Debt consolidation,39000,OWN,10/06/2021,< 1 year,0.2274, 36 months,3,3,Medium,36,,,
6000,Debt consolidation,46000,OWN,11/04/2021,10+ years,0.1471, 36 months,3,3,Medium,36,,,
10000,Debt consolidation,45996,OWN,09/01/2021,10+ years,0.2134, 36 months,3,3,Medium,36,,,
6000,Debt consolidation,69996,OWN,09/11/2021,10+ years,0.184, 36 months,3,3,Medium,36,,,
1275,Debt consolidation,20400,OWN,11/07/2021,2 years,0.2459, 36 months,3,3,Low,36,,,
15000,Debt consolidation,79995,OWN,11/05/2021,3 years,0.1355, 36 months,3,3,Medium,36,,,
25000,Debt consolidation,75000,OWN,10/05/2021,3 years,0.1883, 36 months,3,3,Medium,36,,,
21000,Debt consolidation,82000,OWN,11/10/2021,5 years,0.1021, 36 months,3,3,Medium,36,,,
7400,Debt consolidation,19000,OWN,10/01/2021,3 years,0.1244, 36 months,3,3,Low,36,,,
5000,Debt consolidation,28800,OWN,10/04/2021,1 year,0.1892, 36 months,3,3,Low,36,,,
4800,Debt consolidation,30000,OWN,11/11/2021,10+ years,0.1672, 36 months,3,3,Medium,36,,,
25000,Debt consolidation,83000,OWN,10/08/2021,10+ years,0.1761, 36 months,3,3,Medium,36,,,
25000,Debt consolidation,107400,OWN,10/10/2021,2 years,0.1902, 36 months,3,3,Medium,36,,,
25000,Debt consolidation,70000,OWN,11/01/2021,4 years,0.1673, 36 months,3,3,Medium,36,,,
4000,Debt consolidation,28000,OWN,09/04/2021,5 years,0.2383, 36 months,3,3,Low,36,,,
4400,Debt consolidation,65000,OWN,11/08/2021,6 years,0.1549, 36 months,3,3,Medium,36,,,
10000,Debt consolidation,58000,OWN,10/11/2021,8 years,0.2191, 36 months,3,3,Medium,36,,,
7500,Debt consolidation,60000,OWN,09/01/2021,< 1 year,0.175, 36 months,3,3,Medium,36,,,
12000,Debt consolidation,36000,OWN,11/05/2021,< 1 year,0.1293, 36 months,3,3,Medium,36,,,
25000,Debt consolidation,200000,OWN,10/11/2021,10+ years,0.0121, 36 months,3,3,Medium,36,,,
15000,Debt consolidation,250000,OWN,11/05/2021,8 years,0.0482, 36 months,3,3,Medium,36,,,
24000,Debt consolidation,200000,OWN,09/12/2021,< 1 year,0.002, 36 months,3,3,Medium,36,,,
13750,Debt consolidation,38000,OWN,10/08/2021,1 year,0.1929, 36 months,3,3,Medium,36,,,
6000,Debt consolidation,60000,OWN,10/02/2021,2 years,0.017, 36 months,3,3,Medium,36,,,
6000,Debt consolidation,46500,OWN,10/07/2021,2 years,0.1272, 36 months,3,3,Medium,36,,,
10000,Debt consolidation,30000,OWN,10/01/2021,4 years,0.202, 36 months,3,3,Medium,36,,,
28000,Debt consolidation,140000,OWN,11/04/2021,8 years,0.2035, 36 months,3,3,Medium,36,,,
25000,Debt consolidation,70000,OWN,11/09/2021,10+ years,0.2213, 36 months,3,3,Medium,36,,,
16000,Debt consolidation,106000,OWN,09/12/2021,3 years,0.0987, 36 months,3,3,Medium,36,,,
21250,Debt consolidation,55000,OWN,10/03/2021,6 years,0.2169, 36 months,3,3,Medium,36,,,
25000,Debt consolidation,110000,OWN,10/10/2021,< 1 year,0.1557, 36 months,3,3,Medium,36,,,
24250,Debt consolidation,61547,OWN,10/01/2021,1 year,0.2016, 36 months,3,3,Medium,36,,,
15000,Debt consolidation,64000,OWN,11/07/2021,6 years,0.2316, 36 months,3,3,Medium,36,,,
14400,Debt consolidation,34000,OWN,09/02/2021,2 years,0.1486, 36 months,3,3,Medium,36,,,
16000,Debt consolidation,72000,OWN,11/03/2021,3 years,0.1385, 36 months,3,3,Medium,36,,,
35000,Debt consolidation,104000,OWN,11/07/2021,4 years,0.2055, 36 months,3,3,Medium,36,,,
24250,Debt consolidation,80000,OWN,10/04/2021,4 years,0.1746, 36 months,3,3,Medium,36,,,
20000,Debt consolidation,127000,OWN,10/01/2021,9 years,0.1139, 36 months,3,3,Medium,36,,,
15000,Debt consolidation,48000,OWN,11/12/2021,1 year,0.1125, 36 months,3,3,Medium,36,,,
24250,Debt consolidation,55000,OWN,11/11/2021,5 years,0.1521, 36 months,3,3,Medium,36,,,
10000,Debt consolidation,120000,OWN,11/08/2021,8 years,0.1312, 36 months,3,3,Medium,36,,,
10000,Debt consolidation,85000,OWN,09/08/2021,3 years,0.1251, 36 months,3,3,Medium,36,,,
10000,Debt consolidation,121200,RENT,11/09/2021,1 year,0.1564, 36 months,1,3,Medium,36,,,
6000,Debt consolidation,75000,RENT,11/09/2021,1 year,0.2783, 36 months,1,3,Medium,36,,,
3000,Debt consolidation,26880,RENT,10/11/2021,1 year,0.1741, 36 months,1,3,Low,36,,,
10000,Debt consolidation,35000,RENT,11/02/2021,1 year,0.2575, 36 months,1,3,Medium,36,,,
9575,Debt consolidation,43000,RENT,11/10/2021,1 year,0.2677, 36 months,1,3,Medium,36,,,
20000,Debt consolidation,130000,RENT,11/10/2021,1 year,0.0558, 36 months,1,3,Medium,36,,,
12000,Debt consolidation,170000,RENT,11/05/2021,1 year,0.2009, 36 months,1,3,Medium,36,,,
7000,Debt consolidation,52000,RENT,09/08/2021,1 year,0.0258, 36 months,1,3,Medium,36,,,
8325,Debt consolidation,26900,RENT,11/09/2021,1 year,0.252, 36 months,1,3,Low,36,,,
5000,Debt consolidation,47000,RENT,10/08/2021,1 year,0.1478, 36 months,1,3,Medium,36,,,
7000,Debt consolidation,45000,RENT,11/11/2021,1 year,0.1077, 36 months,1,3,Medium,36,,,
4000,Debt consolidation,30000,RENT,11/09/2021,1 year,0.0436, 36 months,1,3,Medium,36,,,
25000,Debt consolidation,50000,RENT,11/10/2021,1 year,0.1529, 36 months,1,3,Medium,36,,,
23400,Debt consolidation,66960,RENT,11/09/2021,1 year,0.1566, 36 months,1,3,Medium,36,,,
20000,Debt consolidation,120000,RENT,10/12/2021,1 year,0.1531, 36 months,1,3,Medium,36,,,
21000,Debt consolidation,42000,RENT,11/07/2021,1 year,0.1003, 36 months,1,3,Medium,36,,,
10625,Debt consolidation,35000,RENT,11/10/2021,1 year,0.2822, 36 months,1,3,Medium,36,,,
17000,Debt consolidation,55000,RENT,10/08/2021,1 year,0.1202, 36 months,1,3,Medium,36,,,
10000,Debt consolidation,52000,RENT,10/12/2021,1 year,0.2181, 36 months,1,3,Medium,36,,,
12000,Debt consolidation,84000,RENT,10/11/2021,1 year,0.1636, 36 months,1,3,Medium,36,,,
14000,Debt consolidation,148000,RENT,11/08/2021,10+ years,0.0329, 36 months,1,3,Medium,36,,,
4075,Debt consolidation,70000,RENT,11/05/2021,10+ years,0.1944, 36 months,1,3,Medium,36,,,
12000,Debt consolidation,88000,RENT,11/09/2021,10+ years,0.0547, 36 months,1,3,Medium,36,,,
6400,Debt consolidation,112000,RENT,11/10/2021,10+ years,0.0212, 36 months,1,3,Medium,36,,,
10000,Debt consolidation,55000,RENT,10/12/2021,10+ years,0.2023, 36 months,1,3,Medium,36,,,
10000,Debt consolidation,43000,RENT,11/03/2021,10+ years,0.1725, 36 months,1,3,Medium,36,,,
12000,Debt consolidation,80000,RENT,11/02/2021,10+ years,0.0418, 36 months,1,3,Medium,36,,,
6400,Debt consolidation,36000,RENT,11/05/2021,10+ years,0.2447, 36 months,1,3,Medium,36,,,
14700,Debt consolidation,37000,RENT,11/06/2021,10+ years,0.1077, 36 months,1,3,Medium,36,,,
8000,Debt consolidation,33996,RENT,10/11/2021,10+ years,0.126, 36 months,1,3,Medium,36,,,
25000,Debt consolidation,65800,RENT,11/09/2021,10+ years,0.1215, 36 months,1,3,Medium,36,,,
10625,Debt consolidation,30000,RENT,11/08/2021,10+ years,0.2976, 36 months,1,3,Medium,36,,,
6000,Debt consolidation,46500,RENT,11/07/2021,10+ years,0.2767, 36 months,1,3,Medium,36,,,
12000,Debt consolidation,49600,RENT,10/09/2021,10+ years,0.1447, 36 months,1,3,Medium,36,,,
14000,Debt consolidation,30000,RENT,11/06/2021,10+ years,0.126, 36 months,1,3,Medium,36,,,
15000,Debt consolidation,65000,RENT,11/09/2021,10+ years,0.2668, 36 months,1,3,Medium,36,,,
20000,Debt consolidation,59000,RENT,11/01/2021,10+ years,0.1058, 36 months,1,3,Medium,36,,,
7125,Debt consolidation,70000,RENT,11/04/2021,10+ years,0.2861, 36 months,1,3,Medium,36,,,
12000,Debt consolidation,150000,RENT,11/03/2021,10+ years,0.09, 36 months,1,3,Medium,36,,,
10000,Debt consolidation,63000,RENT,11/05/2021,10+ years,0, 36 months,1,3,Medium,36,,,
30000,Debt consolidation,128000,RENT,11/04/2021,10+ years,0.0068, 36 months,1,3,Medium,36,,,
10000,Debt consolidation,40000,RENT,10/06/2021,10+ years,0.1449, 36 months,1,3,Medium,36,,,
20000,Debt consolidation,54833.52,RENT,11/08/2021,10+ years,0.1886, 36 months,1,3,Medium,36,,,
16800,Debt consolidation,60000,RENT,10/12/2021,10+ years,0.074, 36 months,1,3,Medium,36,,,
16000,Debt consolidation,44000,RENT,11/05/2021,10+ years,0.1424, 36 months,1,3,Medium,36,,,
20000,Debt consolidation,39915,RENT,11/08/2021,10+ years,0.1371, 36 months,1,3,Medium,36,,,
11000,Debt consolidation,70000,RENT,11/01/2021,10+ years,0.1683, 36 months,1,3,Medium,36,,,
8000,Debt consolidation,55000,RENT,11/02/2021,10+ years,0.2177, 36 months,1,3,Medium,36,,,
24000,Debt consolidation,95000,RENT,10/12/2021,10+ years,0.0474, 36 months,1,3,Medium,36,,,
10000,Debt consolidation,23700,RENT,09/05/2021,10+ years,0.1008, 36 months,1,3,Low,36,,,
20375,Debt consolidation,54000,RENT,11/05/2021,10+ years,0.2571, 36 months,1,3,Medium,36,,,
9600,Debt consolidation,81960,RENT,11/05/2021,10+ years,0.2552, 36 months,1,3,Medium,36,,,
24000,Debt consolidation,65000,RENT,11/11/2021,10+ years,0.1556, 36 months,1,3,Medium,36,,,
10000,Debt consolidation,65004,RENT,10/05/2021,10+ years,0.1484, 36 months,1,3,Medium,36,,,
15000,Debt consolidation,50000,RENT,10/03/2021,10+ years,0.0946, 36 months,1,3,Medium,36,,,
16000,Debt consolidation,58000,RENT,10/07/2021,10+ years,0.1165, 36 months,1,3,Medium,36,,,
35000,Debt consolidation,83000,RENT,11/10/2021,10+ years,0.1664, 36 months,1,3,Medium,36,,,
10550,Debt consolidation,35000,RENT,10/02/2021,10+ years,0.2163, 36 months,1,3,Medium,36,,,
20000,Debt consolidation,58800,RENT,11/04/2021,10+ years,0.1139, 36 months,1,3,Medium,36,,,
20000,Debt consolidation,55000,RENT,10/12/2021,10+ years,0.2465, 36 months,1,3,Medium,36,,,
28000,Debt consolidation,110000,RENT,11/12/2021,10+ years,0.1928, 36 months,1,3,Medium,36,,,
21600,Debt consolidation,83004,RENT,10/11/2021,10+ years,0.2364, 36 months,1,3,Medium,36,,,
12000,Debt consolidation,54000,RENT,11/08/2021,10+ years,0.0836, 36 months,1,3,Medium,36,,,
15000,Debt consolidation,38000,RENT,10/11/2021,10+ years,0.0878, 36 months,1,3,Medium,36,,,
12000,Debt consolidation,32000,RENT,10/08/2021,10+ years,0.132, 36 months,1,3,Medium,36,,,
12500,Debt consolidation,182500,RENT,11/09/2021,2 years,0.051, 36 months,1,3,Medium,36,,,
7000,Debt consolidation,78300,RENT,11/10/2021,2 years,0.0173, 36 months,1,3,Medium,36,,,
6200,Debt consolidation,12000,RENT,10/10/2021,2 years,0.16, 36 months,1,3,Low,36,,,
3600,Debt consolidation,31800,RENT,11/11/2021,2 years,0.2925, 36 months,1,3,Medium,36,,,
1875,Debt consolidation,13200,RENT,11/06/2021,2 years,0.2391, 36 months,1,3,Low,36,,,
3000,Debt consolidation,53000,RENT,09/04/2021,2 years,0.1134, 36 months,1,3,Medium,36,,,
15000,Debt consolidation,122000,RENT,10/11/2021,2 years,0.0536, 36 months,1,3,Medium,36,,,
8000,Debt consolidation,54500,RENT,10/07/2021,2 years,0.1229, 36 months,1,3,Medium,36,,,
15000,Debt consolidation,120000,RENT,10/08/2021,2 years,0.0548, 36 months,1,3,Medium,36,,,
8000,Debt consolidation,63000,RENT,10/04/2021,2 years,0.0509, 36 months,1,3,Medium,36,,,
12000,Debt consolidation,22452,RENT,11/04/2021,2 years,0.1497, 36 months,1,3,Low,36,,,
6000,Debt consolidation,30000,RENT,10/12/2021,2 years,0.068, 36 months,1,3,Medium,36,,,
6400,Debt consolidation,76644,RENT,10/12/2021,2 years,0.1941, 36 months,1,3,Medium,36,,,
28000,Debt consolidation,85000,RENT,11/08/2021,2 years,0.2384, 36 months,1,3,Medium,36,,,
7000,Debt consolidation,22884,RENT,10/05/2021,2 years,0.1883, 36 months,1,3,Low,36,,,
6000,Debt consolidation,35000,RENT,11/06/2021,2 years,0.2722, 36 months,1,3,Medium,36,,,
12000,Debt consolidation,65000,RENT,11/08/2021,2 years,0.134, 36 months,1,3,Medium,36,,,
5000,Debt consolidation,61000,RENT,11/02/2021,2 years,0.2134, 36 months,1,3,Medium,36,,,
11900,Debt consolidation,35000,RENT,11/04/2021,2 years,0.1923, 36 months,1,3,Medium,36,,,
7000,Debt consolidation,50000,RENT,09/07/2021,2 years,0.1277, 36 months,1,3,Medium,36,,,
9200,Debt consolidation,73000,RENT,10/07/2021,2 years,0.1221, 36 months,1,3,Medium,36,,,
13300,Debt consolidation,33000,RENT,11/02/2021,2 years,0.1927, 36 months,1,3,Medium,36,,,
29550,Debt consolidation,148616,RENT,11/10/2021,2 years,0.2286, 36 months,1,3,Medium,36,,,
17975,Debt consolidation,30000,RENT,11/05/2021,2 years,0.1716, 36 months,1,3,Medium,36,,,
12000,Debt consolidation,71000,RENT,11/10/2021,2 years,0.1443, 36 months,1,3,Medium,36,,,
14600,Debt consolidation,30000,RENT,11/09/2021,3 years,0.2124, 36 months,1,3,Medium,36,,,
9000,Debt consolidation,84000,RENT,11/01/2021,3 years,0.1091, 36 months,1,3,Medium,36,,,
11000,Debt consolidation,45000,RENT,11/07/2021,3 years,0.1653, 36 months,1,3,Medium,36,,,
13200,Debt consolidation,75000,RENT,10/11/2021,3 years,0.0294, 36 months,1,3,Medium,36,,,
14000,Debt consolidation,42000,RENT,11/04/2021,3 years,0.2323, 36 months,1,3,Medium,36,,,
11800,Debt consolidation,40000,RENT,11/02/2021,3 years,0.285, 36 months,1,3,Medium,36,,,
10000,Debt consolidation,24000,RENT,11/01/2021,3 years,0.1825, 36 months,1,3,Low,36,,,
10000,Debt consolidation,30000,RENT,11/05/2021,3 years,0.1936, 36 months,1,3,Medium,36,,,
10000,Debt consolidation,38400,RENT,11/07/2021,3 years,0.1422, 36 months,1,3,Medium,36,,,
5600,Debt consolidation,52800,RENT,11/02/2021,3 years,0.1661, 36 months,1,3,Medium,36,,,
20000,Debt consolidation,65000,RENT,10/11/2021,3 years,0.1326, 36 months,1,3,Medium,36,,,
5950,Debt consolidation,29376,RENT,11/03/2021,3 years,0.1969, 36 months,1,3,Low,36,,,
12000,Debt consolidation,100000,RENT,10/09/2021,3 years,0.04, 36 months,1,3,Medium,36,,,
20000,Debt consolidation,55000,RENT,10/10/2021,3 years,0.017, 36 months,1,3,Medium,36,,,
15000,Debt consolidation,32960,RENT,10/10/2021,3 years,0.1988, 36 months,1,3,Medium,36,,,
10000,Debt consolidation,68580,RENT,10/06/2021,3 years,0.1785, 36 months,1,3,Medium,36,,,
6000,Debt consolidation,59000,RENT,10/08/2021,3 years,0.1442, 36 months,1,3,Medium,36,,,
10000,Debt consolidation,37965.24,RENT,09/04/2021,3 years,0.1505, 36 months,1,3,Medium,36,,,
20000,Debt consolidation,110496,RENT,10/11/2021,3 years,0.1516, 36 months,1,3,Medium,36,,,
18000,Debt consolidation,95000,RENT,11/08/2021,3 years,0.1263, 36 months,1,3,Medium,36,,,
5000,Debt consolidation,35000,RENT,10/09/2021,3 years,0.193, 36 months,1,3,Medium,36,,,
9000,Debt consolidation,60000,RENT,11/08/2021,3 years,0.1502, 36 months,1,3,Medium,36,,,
8500,Debt consolidation,62500,RENT,10/08/2021,3 years,0.2041, 36 months,1,3,Medium,36,,,
14000,Debt consolidation,69575,RENT,09/07/2021,3 years,0.1457, 36 months,1,3,Medium,36,,,
18000,Debt consolidation,84000,RENT,11/06/2021,3 years,0.1591, 36 months,1,3,Medium,36,,,
7000,Debt consolidation,60000,RENT,11/10/2021,4 years,0.1038, 36 months,1,3,Medium,36,,,
8000,Debt consolidation,110000,RENT,11/09/2021,4 years,0.0796, 36 months,1,3,Medium,36,,,
8875,Debt consolidation,26400,RENT,11/10/2021,4 years,0.2432, 36 months,1,3,Low,36,,,
7500,Debt consolidation,48000,RENT,11/05/2021,4 years,0.1225, 36 months,1,3,Medium,36,,,
10625,Debt consolidation,33000,RENT,11/11/2021,4 years,0.2738, 36 months,1,3,Medium,36,,,
25000,Debt consolidation,50000,RENT,11/08/2021,4 years,0.2357, 36 months,1,3,Medium,36,,,
6000,Debt consolidation,36000,RENT,11/08/2021,4 years,0.2634, 36 months,1,3,Medium,36,,,
10400,Debt consolidation,51000,RENT,10/11/2021,4 years,0.1767, 36 months,1,3,Medium,36,,,
8000,Debt consolidation,65000,RENT,11/03/2021,4 years,0.0618, 36 months,1,3,Medium,36,,,
19200,Debt consolidation,90000,RENT,11/08/2021,4 years,0.0651, 36 months,1,3,Medium,36,,,
14500,Debt consolidation,32000,RENT,10/10/2021,4 years,0.2336, 36 months,1,3,Medium,36,,,
10000,Debt consolidation,75000,RENT,11/06/2021,4 years,0.0158, 36 months,1,3,Medium,36,,,
7000,Debt consolidation,84175,RENT,11/01/2021,4 years,0.08, 36 months,1,3,Medium,36,,,
24000,Debt consolidation,85000,RENT,11/11/2021,4 years,0.0508, 36 months,1,3,Medium,36,,,
20000,Debt consolidation,80000,RENT,11/09/2021,4 years,0.0483, 36 months,1,3,Medium,36,,,
15000,Debt consolidation,100000,RENT,11/09/2021,4 years,0.1706, 36 months,1,3,Medium,36,,,
6000,Debt consolidation,30000,RENT,10/07/2021,4 years,0.0612, 36 months,1,3,Medium,36,,,
10000,Debt consolidation,60000,RENT,11/06/2021,4 years,0.2798, 36 months,1,3,Medium,36,,,
5000,Debt consolidation,46000,RENT,10/04/2021,4 years,0.2097, 36 months,1,3,Medium,36,,,
6000,Debt consolidation,18200,RENT,11/04/2021,4 years,0.0745, 36 months,1,3,Low,36,,,
12500,Debt consolidation,42000,RENT,09/08/2021,4 years,0.1486, 36 months,1,3,Medium,36,,,
14400,Debt consolidation,85000,RENT,11/08/2021,4 years,0.1444, 36 months,1,3,Medium,36,,,
20000,Debt consolidation,60000,RENT,10/09/2021,4 years,0.135, 36 months,1,3,Medium,36,,,
9000,Debt consolidation,33000,RENT,10/07/2021,5 years,0.1044, 36 months,1,3,Medium,36,,,
4500,Debt consolidation,36000,RENT,10/10/2021,5 years,0.2415, 36 months,1,3,Medium,36,,,
20000,Debt consolidation,162000,RENT,11/09/2021,5 years,0.1281, 36 months,1,3,Medium,36,,,
21450,Debt consolidation,60000,RENT,11/04/2021,5 years,0.1528, 36 months,1,3,Medium,36,,,
25000,Debt consolidation,81000,RENT,11/03/2021,5 years,0.1855, 36 months,1,3,Medium,36,,,
12000,Debt consolidation,150086,RENT,10/10/2021,5 years,0.0489, 36 months,1,3,Medium,36,,,
16000,Debt consolidation,36900,RENT,11/10/2021,5 years,0.0849, 36 months,1,3,Medium,36,,,
6000,Debt consolidation,33600,RENT,10/12/2021,5 years,0.0779, 36 months,1,3,Medium,36,,,
15000,Debt consolidation,65000,RENT,11/03/2021,5 years,0.0343, 36 months,1,3,Medium,36,,,
35000,Debt consolidation,70500,RENT,11/11/2021,5 years,0.2209, 36 months,1,3,Medium,36,,,
14400,Debt consolidation,48000,RENT,11/07/2021,5 years,0.2207, 36 months,1,3,Medium,36,,,
6000,Debt consolidation,110000,RENT,11/11/2021,5 years,0.1954, 36 months,1,3,Medium,36,,,
22000,Debt consolidation,190000,RENT,11/01/2021,5 years,0.0892, 36 months,1,3,Medium,36,,,
6000,Debt consolidation,31000,RENT,11/11/2021,6 years,0.1409, 36 months,1,3,Medium,36,,,
7200,Debt consolidation,42000,RENT,11/02/2021,6 years,0.2731, 36 months,1,3,Medium,36,,,
4400,Debt consolidation,72000,RENT,11/05/2021,6 years,0.0925, 36 months,1,3,Medium,36,,,
12650,Debt consolidation,60000,RENT,11/10/2021,6 years,0.1824, 36 months,1,3,Medium,36,,,
15000,Debt consolidation,87000,RENT,11/08/2021,6 years,0.0415, 36 months,1,3,Medium,36,,,
5000,Debt consolidation,50793.6,RENT,11/11/2021,6 years,0.2679, 36 months,1,3,Medium,36,,,
25000,Debt consolidation,80000,RENT,11/12/2021,6 years,0.0504, 36 months,1,3,Medium,36,,,
30000,Debt consolidation,105000,RENT,11/08/2021,6 years,0.2384, 36 months,1,3,Medium,36,,,
12000,Debt consolidation,70000,RENT,11/06/2021,6 years,0.2033, 36 months,1,3,Medium,36,,,
12500,Debt consolidation,98850,RENT,11/05/2021,6 years,0.1407, 36 months,1,3,Medium,36,,,
24000,Debt consolidation,66000,RENT,11/09/2021,6 years,0.2131, 36 months,1,3,Medium,36,,,
9000,Debt consolidation,40800,RENT,11/08/2021,6 years,0.1974, 36 months,1,3,Medium,36,,,
4700,Debt consolidation,31776,RENT,10/01/2021,6 years,0.213, 36 months,1,3,Medium,36,,,
15000,Debt consolidation,38000,RENT,10/09/2021,6 years,0.2229, 36 months,1,3,Medium,36,,,
15000,Debt consolidation,41000,RENT,11/08/2021,6 years,0.25, 36 months,1,3,Medium,36,,,
5000,Debt consolidation,48000,RENT,11/05/2021,7 years,0.2782, 36 months,1,3,Medium,36,,,
11000,Debt consolidation,94527.68,RENT,11/08/2021,7 years,0.1205, 36 months,1,3,Medium,36,,,
20000,Debt consolidation,60000,RENT,11/12/2021,7 years,0.107, 36 months,1,3,Medium,36,,,
10000,Debt consolidation,71496,RENT,10/10/2021,7 years,0.0676, 36 months,1,3,Medium,36,,,
6000,Debt consolidation,46443.36,RENT,11/11/2021,7 years,0.2778, 36 months,1,3,Medium,36,,,
17000,Debt consolidation,89004,RENT,09/03/2021,7 years,0.1471, 36 months,1,3,Medium,36,,,
18000,Debt consolidation,240000,RENT,10/05/2021,7 years,0.0242, 36 months,1,3,Medium,36,,,
6000,Debt consolidation,15000,RENT,11/11/2021,8 years,0.1304, 36 months,1,3,Low,36,,,
12000,Debt consolidation,62000,RENT,10/10/2021,8 years,0.1142, 36 months,1,3,Medium,36,,,
4500,Debt consolidation,86854,RENT,09/08/2021,8 years,0.1418, 36 months,1,3,Medium,36,,,
4250,Debt consolidation,35000,RENT,11/07/2021,8 years,0.2283, 36 months,1,3,Medium,36,,,
12000,Debt consolidation,115000,RENT,10/12/2021,8 years,0.1107, 36 months,1,3,Medium,36,,,
16000,Debt consolidation,70000,RENT,11/11/2021,8 years,0.1579, 36 months,1,3,Medium,36,,,
16000,Debt consolidation,42856,RENT,11/12/2021,8 years,0.0893, 36 months,1,3,Medium,36,,,
12000,Debt consolidation,33000,RENT,11/08/2021,8 years,0.1255, 36 months,1,3,Medium,36,,,
28000,Debt consolidation,56950,RENT,11/08/2021,8 years,0.1979, 36 months,1,3,Medium,36,,,
20000,Debt consolidation,60000,RENT,10/10/2021,8 years,0.224, 36 months,1,3,Medium,36,,,
6000,Debt consolidation,82000,RENT,10/05/2021,8 years,0.1872, 36 months,1,3,Medium,36,,,
10000,Debt consolidation,27996,RENT,11/01/2021,9 years,0.0952, 36 months,1,3,Low,36,,,
13200,Debt consolidation,28000,RENT,11/01/2021,9 years,0.0591, 36 months,1,3,Low,36,,,
6000,Debt consolidation,65000,RENT,11/06/2021,9 years,0.2845, 36 months,1,3,Medium,36,,,
24000,Debt consolidation,62004,RENT,11/12/2021,9 years,0.1092, 36 months,1,3,Medium,36,,,
9600,Debt consolidation,85392,RENT,11/03/2021,9 years,0.2965, 36 months,1,3,Medium,36,,,
13000,Debt consolidation,110400,RENT,11/09/2021,9 years,0.1987, 36 months,1,3,Medium,36,,,
11500,Debt consolidation,22188,RENT,11/05/2021,9 years,0.0763, 36 months,1,3,Low,36,,,
7200,Debt consolidation,63000,RENT,10/05/2021,9 years,0.1474, 36 months,1,3,Medium,36,,,
4375,Debt consolidation,24480,RENT,11/04/2021,< 1 year,0.2946, 36 months,1,3,Low,36,,,
3200,Debt consolidation,53500,RENT,10/07/2021,< 1 year,0.0834, 36 months,1,3,Medium,36,,,
15000,Debt consolidation,230000,RENT,11/06/2021,< 1 year,0.0674, 36 months,1,3,Medium,36,,,
30000,Debt consolidation,89028,RENT,11/11/2021,< 1 year,0.1865, 36 months,1,3,Medium,36,,,
8000,Debt consolidation,45000,RENT,10/05/2021,< 1 year,0.0173, 36 months,1,3,Medium,36,,,
13000,Debt consolidation,49000,RENT,10/11/2021,< 1 year,0.0468, 36 months,1,3,Medium,36,,,
4000,Debt consolidation,9600,RENT,10/09/2021,< 1 year,0.1388, 36 months,1,3,Low,36,,,
